X,Y,Date,Daily.Max.8.hour.Ozone.Concentration
-78.50397,38.0765700009162,10/01/2019,0.042
-78.50397,38.0765700009162,10/02/2019,0.047
-78.50397,38.0765700009162,10/03/2019,0.055
-78.50397,38.0765700009162,10/04/2019,0.042
-78.50397,38.0765700009162,10/05/2019,0.031
-78.50397,38.0765700009162,10/06/2019,0.029
-78.50397,38.0765700009162,10/07/2019,0.036
-78.50397,38.0765700009162,10/08/2019,0.034
-78.50397,38.0765700009162,10/09/2019,0.041
-78.50397,38.0765700009162,10/10/2019,0.039
-78.50397,38.0765700009162,10/11/2019,0.042
-78.50397,38.0765700009162,10/12/2019,0.027
-78.50397,38.0765700009162,10/13/2019,0.028
-78.50397,38.0765700009162,10/14/2019,0.044
-78.50397,38.0765700009162,10/15/2019,0.051
-78.50397,38.0765700009162,10/16/2019,0.034
-78.50397,38.0765700009162,10/17/2019,0.037
-78.50397,38.0765700009162,10/18/2019,0.037
-78.50397,38.0765700009162,10/19/2019,0.036
-78.50397,38.0765700009162,10/20/2019,0.034
-78.50397,38.0765700009162,10/21/2019,0.029
-78.50397,38.0765700009162,10/22/2019,0.012
-78.50397,38.0765700009162,10/23/2019,0.035
-78.50397,38.0765700009162,10/24/2019,0.037
-78.50397,38.0765700009162,10/25/2019,0.035
-78.50397,38.0765700009162,10/26/2019,0.031
-78.50397,38.0765700009162,10/27/2019,0.035
-78.50397,38.0765700009162,10/28/2019,0.037
-78.50397,38.0765700009162,10/29/2019,0.029
-78.50397,38.0765700009162,10/30/2019,0.016
-77.05922,38.857700000922,03/01/2019,0.028
-77.05922,38.857700000922,03/02/2019,0.033
-77.05922,38.857700000922,03/03/2019,0.032
-77.05922,38.857700000922,03/04/2019,0.044
-77.05922,38.857700000922,03/05/2019,0.04
-77.05922,38.857700000922,03/06/2019,0.038
-77.05922,38.857700000922,03/07/2019,0.043
-77.05922,38.857700000922,03/08/2019,0.035
-77.05922,38.857700000922,03/09/2019,0.037
-77.05922,38.857700000922,03/10/2019,0.034
-77.05922,38.857700000922,03/11/2019,0.044
-77.05922,38.857700000922,03/12/2019,0.049
-77.05922,38.857700000922,03/13/2019,0.052
-77.05922,38.857700000922,03/14/2019,0.051
-77.05922,38.857700000922,03/15/2019,0.04
-77.05922,38.857700000922,03/16/2019,0.046
-77.05922,38.857700000922,03/17/2019,0.045
-77.05922,38.857700000922,03/18/2019,0.039
-77.05922,38.857700000922,03/19/2019,0.046
-77.05922,38.857700000922,03/20/2019,0.048
-77.05922,38.857700000922,03/21/2019,0.041
-77.05922,38.857700000922,03/22/2019,0.043
-77.05922,38.857700000922,03/23/2019,0.043
-77.05922,38.857700000922,03/24/2019,0.05
-77.05922,38.857700000922,03/25/2019,0.041
-77.05922,38.857700000922,03/26/2019,0.04
-77.05922,38.857700000922,03/27/2019,0.041
-77.05922,38.857700000922,03/28/2019,0.054
-77.05922,38.857700000922,03/29/2019,0.04
-77.05922,38.857700000922,03/30/2019,0.06
-77.05922,38.857700000922,03/31/2019,0.043
-77.05922,38.857700000922,04/01/2019,0.045
-77.05922,38.857700000922,04/02/2019,0.041
-77.05922,38.857700000922,04/03/2019,0.053
-77.05922,38.857700000922,04/04/2019,0.048
-77.05922,38.857700000922,04/05/2019,0.036
-77.05922,38.857700000922,04/06/2019,0.05
-77.05922,38.857700000922,04/07/2019,0.05
-77.05922,38.857700000922,04/08/2019,0.041
-77.05922,38.857700000922,04/09/2019,0.052
-77.05922,38.857700000922,04/10/2019,0.053
-77.05922,38.857700000922,04/11/2019,0.038
-77.05922,38.857700000922,04/12/2019,0.043
-77.05922,38.857700000922,04/13/2019,0.047
-77.05922,38.857700000922,04/14/2019,0.033
-77.05922,38.857700000922,04/15/2019,0.041
-77.05922,38.857700000922,04/16/2019,0.049
-77.05922,38.857700000922,04/17/2019,0.048
-77.05922,38.857700000922,04/18/2019,0.055
-77.05922,38.857700000922,04/19/2019,0.033
-77.05922,38.857700000922,04/20/2019,0.044
-77.05922,38.857700000922,04/21/2019,0.04
-77.05922,38.857700000922,04/22/2019,0.043
-77.05922,38.857700000922,04/23/2019,0.052
-77.05922,38.857700000922,04/24/2019,0.05
-77.05922,38.857700000922,04/25/2019,0.051
-77.05922,38.857700000922,04/26/2019,0.045
-77.05922,38.857700000922,04/27/2019,0.053
-77.05922,38.857700000922,04/28/2019,0.043
-77.05922,38.857700000922,04/29/2019,0.042
-77.05922,38.857700000922,04/30/2019,0.055
-77.05922,38.857700000922,05/01/2019,0.034
-77.05922,38.857700000922,05/02/2019,0.04
-77.05922,38.857700000922,05/03/2019,0.033
-77.05922,38.857700000922,05/04/2019,0.035
-77.05922,38.857700000922,05/05/2019,0.027
-77.05922,38.857700000922,05/06/2019,0.045
-77.05922,38.857700000922,05/07/2019,0.047
-77.05922,38.857700000922,05/08/2019,0.04
-77.05922,38.857700000922,05/09/2019,0.039
-77.05922,38.857700000922,05/10/2019,0.038
-77.05922,38.857700000922,05/11/2019,0.035
-77.05922,38.857700000922,05/12/2019,0.035
-77.05922,38.857700000922,05/13/2019,0.029
-77.05922,38.857700000922,05/14/2019,0.037
-77.05922,38.857700000922,05/15/2019,0.048
-77.05922,38.857700000922,05/16/2019,0.053
-77.05922,38.857700000922,05/17/2019,0.051
-77.05922,38.857700000922,05/18/2019,0.065
-77.05922,38.857700000922,05/19/2019,0.051
-77.05922,38.857700000922,05/20/2019,0.048
-77.05922,38.857700000922,05/21/2019,0.041
-77.05922,38.857700000922,05/22/2019,0.042
-77.05922,38.857700000922,05/24/2019,0.053
-77.05922,38.857700000922,05/25/2019,0.048
-77.05922,38.857700000922,05/26/2019,0.049
-77.05922,38.857700000922,05/27/2019,0.048
-77.05922,38.857700000922,05/28/2019,0.043
-77.05922,38.857700000922,05/29/2019,0.046
-77.05922,38.857700000922,05/30/2019,0.047
-77.05922,38.857700000922,05/31/2019,0.054
-77.05922,38.857700000922,06/01/2019,0.069
-77.05922,38.857700000922,06/02/2019,0.054
-77.05922,38.857700000922,06/03/2019,0.043
-77.05922,38.857700000922,06/04/2019,0.051
-77.05922,38.857700000922,06/05/2019,0.048
-77.05922,38.857700000922,06/06/2019,0.057
-77.05922,38.857700000922,06/07/2019,0.054
-77.05922,38.857700000922,06/08/2019,0.056
-77.05922,38.857700000922,06/09/2019,0.036
-77.05922,38.857700000922,06/10/2019,0.026
-77.05922,38.857700000922,06/11/2019,0.04
-77.05922,38.857700000922,06/12/2019,0.044
-77.05922,38.857700000922,06/13/2019,0.04
-77.05922,38.857700000922,06/14/2019,0.038
-77.05922,38.857700000922,06/15/2019,0.052
-77.05922,38.857700000922,06/16/2019,0.047
-77.05922,38.857700000922,06/17/2019,0.054
-77.05922,38.857700000922,06/18/2019,0.039
-77.05922,38.857700000922,06/19/2019,0.039
-77.05922,38.857700000922,06/20/2019,0.044
-77.05922,38.857700000922,06/21/2019,0.044
-77.05922,38.857700000922,06/22/2019,0.042
-77.05922,38.857700000922,06/23/2019,0.046
-77.05922,38.857700000922,06/24/2019,0.049
-77.05922,38.857700000922,06/25/2019,0.049
-77.05922,38.857700000922,06/26/2019,0.06
-77.05922,38.857700000922,06/27/2019,0.074
-77.05922,38.857700000922,06/28/2019,0.069
-77.05922,38.857700000922,06/29/2019,0.058
-77.05922,38.857700000922,06/30/2019,0.046
-77.05922,38.857700000922,07/01/2019,0.049
-77.05922,38.857700000922,07/02/2019,0.061
-77.05922,38.857700000922,07/03/2019,0.057
-77.05922,38.857700000922,07/04/2019,0.053
-77.05922,38.857700000922,07/05/2019,0.053
-77.05922,38.857700000922,07/06/2019,0.043
-77.05922,38.857700000922,07/07/2019,0.05
-77.05922,38.857700000922,07/08/2019,0.027
-77.05922,38.857700000922,07/09/2019,0.055
-77.05922,38.857700000922,07/10/2019,0.05
-77.05922,38.857700000922,07/11/2019,0.039
-77.05922,38.857700000922,07/12/2019,0.055
-77.05922,38.857700000922,07/13/2019,0.062
-77.05922,38.857700000922,07/14/2019,0.057
-77.05922,38.857700000922,07/15/2019,0.059
-77.05922,38.857700000922,07/16/2019,0.064
-77.05922,38.857700000922,07/17/2019,0.049
-77.05922,38.857700000922,07/18/2019,0.042
-77.05922,38.857700000922,07/19/2019,0.052
-77.05922,38.857700000922,07/20/2019,0.049
-77.05922,38.857700000922,07/21/2019,0.048
-77.05922,38.857700000922,07/22/2019,0.049
-77.05922,38.857700000922,07/23/2019,0.03
-77.05922,38.857700000922,07/24/2019,0.045
